block_id,local_theme_name,cluster_count,review_count_sum,member_centers,spot_check,notes
block-000,Recommendation,2,301,recommendation,,
block-000,Price,13,262,affordability | cost | price,,
block-000,Value for money,6,149,cost effectiveness | cost-effectiveness | price value | value,,
block-000,Convenience / utility,6,143,convenience | usefulness | utility,,
block-000,Purchase Intent,2,116,purchase intent,,
block-000,Cost savings,3,89,cost savings | price savings,,
block-000,Purchase Decision,2,20,purchase decision,,
block-000,Daily Utility,1,10,daily utility,,
block-001,Ice taste,47,1822,ice taste | taste,,
block-001,Ice texture / chewability,25,581,chewability | ice texture | texture,,
block-001,Ice quality,7,298,ice quality,,
block-001,Flavor,3,35,flavor,,
block-001,Ice Cube Quality,1,34,ice cube quality,,
block-001,Ice clarity,2,23,ice clarity,,
block-001,Water Taste,2,23,water taste,,
block-001,Appearance,1,14,appearance,,
block-001,Odor,1,13,smell,,
block-001,Crunchability,1,12,crunchability,,
block-001,Bite-Size Ice Texture,1,11,bite-size ice texture,,
block-001,Crunchiness,1,10,crunchiness,,
block-001,Taste Improvement,1,10,taste improvement,,
block-002,Overall performance,28,8725,overall performance | performance,,
block-002,Efficiency,5,341,efficiency | energy efficiency,,
block-002,Cooling performance,6,94,cooling | cooling performance,,
block-002,Machine Performance,1,54,machine performance,,
block-002,Energy Consumption,2,49,energy consumption,,
block-002,Performance Speed,2,32,performance speed,,
block-002,Startup Time,1,25,startup time,,
block-002,Temperature control,1,15,temperature,,
block-002,Time Saving,1,14,time saving,,
block-002,Productivity,1,11,productivity,,
block-002,Versatility,1,11,versatility,,
block-002,Product Performance,1,10,product performance,,
block-002,Replacement Performance,1,10,replacement performance,,
block-003,Leakage,16,810,leakage | leaking | water leakage,,
block-003,Capacity,4,152,capacity,,
block-003,Ice production speed,3,118,filling speed,,
block-003,Water Pump Reliability,1,96,water pump reliability,,
block-003,Drainage,4,65,drain location | drain plug functionality | drainage | water draining,,
block-003,Mold Growth,1,63,mold growth,,
block-003,Water Consumption,3,63,water consumption,,
block-003,Refilling Frequency,1,47,refilling frequency,,
block-003,Refilling Ease,1,42,refilling ease,,
block-003,Installation,1,41,installation,,
block-003,Side Tank,1,40,side tank,,
block-003,Water Quality,3,40,water quality,,
block-003,Accessories,1,38,accessories,,
block-003,Water Reservoir Size,1,33,water reservoir size,,
block-003,Reservoir Size,2,29,reservoir size,,
block-003,Filling Time,1,28,filling time,,
block-003,Refill Frequency,1,28,refill frequency,,
block-003,Water Dripping,2,28,water dripping,,
block-003,Water Intake,1,26,water intake,,
block-003,Water Line Connection,1,26,water line connection,,
block-003,Refilling Requirement,1,24,refilling requirement,,
block-003,Clogging,1,23,clogging,,
block-003,Water Requirement,1,23,water requirement,,
block-003,Water Quality Requirement,1,22,water quality requirement,,
block-003,Water Pumping,1,21,water pumping,,
block-003,Water filling,1,20,water filling,,
block-003,Machine size,1,18,size,,
block-003,Refill Speed,1,18,refill speed,,
block-003,Filling Tray,1,17,filling tray,,
block-003,Water Retention,1,17,water retention,,
block-003,Filling Ease,1,16,filling ease,,
block-003,Water Refilling Convenience,1,15,water refilling convenience,,
block-003,Filling,1,14,filling,,
block-003,Water Capacity,1,14,water capacity,,
block-003,Water Tank Capacity,1,14,water tank capacity,,
block-003,Clumping,1,12,clumping,,
block-003,Design,1,12,design,,
block-003,Overflowing,1,12,overflowing,,
block-003,Water Filling Ease,1,11,water filling ease,,
block-003,Water Flow,1,11,water flow,,
block-003,Coolant Leak,1,10,coolant leak,,
block-003,Emptying Frequency,1,10,emptying frequency,,
block-003,Filling Process,1,10,filling process,,
